Blue,Green,Red,Distance,Light,Color,ColorDetect,ColorNum
28.3,56.17,15.52,24,0,Green,Yes,1
28.38,55.96,15.65,24,0,Green,Yes,1
28.38,55.96,15.65,24,0,Green,Yes,1
28.38,55.96,15.65,24,0,Green,Yes,1
28.42,55.93,15.65,24,0,Green,Yes,1
28.42,55.97,15.61,24,0,Green,Yes,1
19.37,33.25,47.38,3,1,Red,Yes,1
22.84,31.62,45.54,3,1,Red,Yes,1
22.78,31.39,45.83,3,1,Red,Yes,1
19.67,33.3,47.03,3,1,Red,Yes,1
22.77,31.62,45.61,3,1,Red,Yes,1
18.87,33.69,47.43,3,1,Red,Yes,1
22.94,31.56,45.49,3,1,Red,Yes,1
19.22,33.36,47.42,3,1,Red,Yes,1
22.67,31.45,45.88,3,1,Red,Yes,1
22.86,31.48,45.67,3,1,Red,Yes,1
23.2,32.27,44.54,6,1,Red,Yes,1
23.6,32.24,44.17,6,1,Red,Yes,1
23.54,32.47,43.99,6,1,Red,Yes,1
18.83,34.91,46.26,6,1,Red,Yes,1
23.38,32.33,44.29,6,1,Red,Yes,1
23.17,32.32,44.51,6,1,Red,Yes,1
23.34,32.32,44.34,6,1,Red,Yes,1
23.35,32.31,44.33,6,1,Red,Yes,1
23.48,32.29,44.24,6,1,Red,Yes,1
23.45,32.33,44.22,9,1,Red,Yes,1
24.55,32.53,42.93,9,1,Red,Yes,1
24.66,32.63,42.71,9,1,Red,Yes,1
24.64,32.55,42.81,9,1,Red,Yes,1
24.65,32.55,42.79,9,1,Red,Yes,1
24.5,32.64,42.86,9,1,Red,Yes,1
24.67,32.55,42.78,9,1,Red,Yes,1
24.67,32.67,42.66,9,1,Red,Yes,1
24.66,32.71,42.63,9,1,Red,Yes,1
24.54,32.68,42.78,9,1,Red,Yes,1
24.55,32.74,42.71,12,1,Red,Yes,1
24.79,33,42.21,12,1,Red,Yes,1
24.6,33.01,42.39,12,1,Red,Yes,1
24.68,33.12,42.2,12,1,Red,Yes,1
24.77,33.13,42.1,12,1,Red,Yes,1
24.63,33.08,42.3,12,1,Red,Yes,1
24.56,33.01,42.44,12,1,Red,Yes,1
24.62,33.06,42.32,12,1,Red,Yes,1
24.69,33.03,42.28,12,1,Red,Yes,1
24.59,33.02,42.39,12,1,Red,Yes,1
24.65,33.03,42.32,15,1,Red,Yes,1
25.4,33.16,41.44,15,1,Red,Yes,1
25.57,33.06,41.37,15,1,Red,Yes,1
25.34,33.14,41.52,15,1,Red,Yes,1
25.43,33.09,41.48,15,1,Red,Yes,1
25.52,33.11,41.37,15,1,Red,Yes,1
25.46,33.09,41.45,15,1,Red,Yes,1
25.58,33.09,41.33,15,1,Red,Yes,1
25.57,33.07,41.36,15,1,Red,Yes,1
25.58,33.06,41.37,15,1,Red,Yes,1
25.57,33.06,41.38,18,1,Red,Yes,1
8.71,14.95,76.34,18,1,Red,Yes,1
7.95,14.39,77.66,18,1,Red,Yes,1
8.61,14.99,76.4,18,1,Red,Yes,1
8.51,14.92,76.57,18,1,Red,Yes,1
8.48,14.82,76.71,18,1,Red,Yes,1
8.56,14.71,76.74,18,1,Red,Yes,1
8.58,14.7,76.72,18,1,Red,Yes,1
8.04,14.51,77.46,18,1,Red,Yes,1
8.01,14.47,77.51,18,1,Red,Yes,1
7.89,14.4,77.7,21,1,Red,Yes,1
20.72,28.03,51.24,21,1,Red,Yes,1
20.75,27.97,51.28,21,1,Red,Yes,1
21.41,27.05,51.55,21,1,Red,Yes,1
21.54,26.97,51.48,21,1,Red,Yes,1
21.49,27,51.51,21,1,Red,Yes,1
21.38,26.94,51.68,21,1,Red,Yes,1
20.85,27.88,51.27,21,1,Red,Yes,1
18.76,28.58,52.66,21,1,Red,Yes,1
18.81,28.58,52.61,21,1,Red,Yes,1
19.4,31.73,48.87,24,1,Red,Yes,1
19.13,32.43,48.44,24,1,Red,Yes,1
19.21,31.62,49.18,24,1,Red,Yes,1
19.2,31.55,49.25,24,1,Red,Yes,1
18.62,32.08,49.3,24,1,Red,Yes,1
19.18,31.9,48.92,24,1,Red,Yes,1
19.15,31.93,48.93,24,1,Red,Yes,1
19.47,31.72,48.81,24,1,Red,Yes,1
18.82,32.43,48.74,24,1,Red,Yes,1
19.49,32.19,48.31,24,1,Red,Yes,1
14.16,12.5,73.34,3,0,Red,Yes,1
14.99,12.38,72.64,3,0,Red,Yes,1
14.08,12.51,73.4,3,0,Red,Yes,1
14.07,12.6,73.33,3,0,Red,Yes,1
14.08,12.64,73.29,3,0,Red,Yes,1
14.15,12.51,73.34,3,0,Red,Yes,1
14.12,12.55,73.32,3,0,Red,Yes,1
14.21,12.62,73.17,3,0,Red,Yes,1
15.12,13.45,71.43,3,0,Red,Yes,1
14.1,12.53,73.37,3,0,Red,Yes,1
15.25,14.37,70.38,6,0,Red,Yes,1
